africa-algeria	88262347
africa-angola	52751107
africa-benin	34257785
africa-botswana	78301152
africa-burkina-faso	58511146
africa-burundi	38252758
africa-cameroon	199630510
africa-canary-islands	34416686
africa-cape-verde	8291776
africa-central-african-republic	100537088
africa-chad	64617745
africa-comores	3829904
africa-congo-brazzaville	22454713
africa-congo-democratic-republic	348896902
africa-djibouti	8061646
africa-egypt	130902891
africa-equatorial-guinea	2819519
africa-eritrea	13057105
africa-ethiopia	74505073
africa-gabon	10641960
africa-ghana	60097769
africa-guinea	95227899
africa-guinea-bissau	7536129
africa-ivory-coast	44370411
africa-kenya	204371752
africa-lesotho	94101984
africa-liberia	27370854
africa-libya	44245934
africa-madagascar	321604119
africa-malawi	98005108
africa-mali	134049377
africa-mauritania	19658023
africa-mauritius	5271501
africa-morocco	132134759
africa-mozambique	163793033
africa-namibia	32610561
africa-niger	49260364
africa-nigeria	402741499
africa-rwanda	33695467
africa-saint-helena-ascension-and-tristan-da-cunha	392494
africa-sao-tome-and-principe	801423
africa-senegal-and-gambia	67795323
africa-seychelles	2156189
africa-sierra-leone	31024460
africa-somalia	157240992
africa-south-africa	231870489
africa-south-sudan	95549328
africa-sudan	67278152
africa-swaziland	24705440
africa-tanzania	537560397
africa-togo	40654266
africa-tunisia	55151307
africa-uganda	279520651
africa-zambia	208169529
africa-zimbabwe	149705365
antartica	12514702
asia-afghanistan	81426516
asia-armenia	34776656
asia-azerbaijan	29855082
asia-bangladesh	281481529
asia-bhutan	18827276
asia-cambodia	23922059
asia-china	793867047
asia-gcc-states	139094586
asia-india	1035415725
asia-indonesia	1283474421
asia-iran	150337809
asia-iraq	56376098
asia-israel-and-palestine	64602777
asia-japan	1215937880
asia-jordan	22256312
asia-kazakhstan	133667296
asia-kyrgyzstan	31815096
asia-laos	34157086
asia-lebanon	31487766
asia-malaysia-singapore-brunei	140233068
asia-maldives	3572336
asia-mongolia	48979821
asia-myanmar	127001681
asia-nepal	326247459
asia-north-korea	51850203
asia-pakistan	81430414
asia-philippines	406551282
asia-south-korea	130477204
asia-sri-lanka	95877446
asia-syria	32354167
asia-taiwan	79859280
asia-tajikistan	32667262
asia-thailand	203992847
asia-turkmenistan	12020814
asia-uzbekistan	61847009
asia-vietnam	213364435
asia-yemen	33597033
australia-oceania-american-oceania	4236709
australia-oceania-australia	469972034
australia-oceania-cook-islands	955681
australia-oceania-fiji	12373964
australia-oceania-ile-de-clipperton	10166
australia-oceania-kiribati	2322206
australia-oceania-marshall-islands	744067
australia-oceania-micronesia	1062661
australia-oceania-nauru	183450
australia-oceania-new-caledonia	10156783
australia-oceania-new-zealand	236102673
australia-oceania-niue	585555
australia-oceania-palau	452665
australia-oceania-papua-new-guinea	28963724
australia-oceania-pitcairn-islands	76236
australia-oceania-polynesie-francaise	12751569
australia-oceania-samoa	2536941
australia-oceania-solomon-islands	8141865
australia-oceania-tokelau	397500
australia-oceania-tonga	3191501
australia-oceania-tuvalu	253539
australia-oceania-vanuatu	4724875
australia-oceania-wallis-et-futuna	333441
central-america-bahamas	10388396
central-america-belize	14183562
central-america-costa-rica	23044619
central-america-cuba	43191178
central-america-el-salvador	15970161
central-america-guatemala	98780366
central-america-haiti-and-domrep	65747669
central-america-honduras	33646664
central-america-jamaica	36987670
central-america-nicaragua	27163724
europe-albania	36185816
europe-andorra	1859426
europe-austria	508099633
europe-azores	11314984
europe-belarus	211612223
europe-belgium	393915699
europe-bosnia-herzegovina	101156707
europe-bulgaria	89970309
europe-croatia	121106941
europe-cyprus	18059640
europe-czech-republic	531389218
europe-denmark	285184374
europe-estonia	72628356
europe-faroe-islands	4866467
europe-finland	419955089
europe-france-alsace	79349219
europe-france-aquitaine	182015397
europe-france-auvergne	91501210
